               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,           0.0099685,            0.083003,           0.0027102,             0.99995,                   1,               0.995,              0.9938,           0.0045033,            0.050059,          9.3571e-05,            0.000208,            0.000208,            0.000208
                  82,             0.01035,            0.088647,           0.0026384,             0.99995,                   1,               0.995,             0.99436,           0.0036527,            0.048031,          9.1589e-05,           0.0001981,           0.0001981,           0.0001981
                  83,            0.010156,             0.08681,            0.002605,             0.99994,                   1,               0.995,              0.9932,           0.0038722,            0.056587,          9.2038e-05,           0.0001882,           0.0001882,           0.0001882
                  84,            0.009427,            0.079068,           0.0025331,             0.99995,                   1,               0.995,              0.9947,            0.003073,            0.041706,          9.3429e-05,           0.0001783,           0.0001783,           0.0001783
                  85,            0.010499,            0.083379,           0.0026979,             0.99995,                   1,               0.995,              0.9937,            0.003364,            0.042386,          7.7084e-05,           0.0001684,           0.0001684,           0.0001684
                  86,            0.009308,            0.078674,           0.0025956,             0.99995,                   1,               0.995,              0.9942,           0.0041091,            0.047031,          7.7258e-05,           0.0001585,           0.0001585,           0.0001585
                  87,           0.0096307,            0.082067,            0.002533,             0.99984,             0.99991,               0.995,              0.9946,           0.0028353,            0.037797,          9.5275e-05,           0.0001486,           0.0001486,           0.0001486
                  88,           0.0098236,            0.078381,           0.0026427,             0.99993,                   1,               0.995,             0.99227,           0.0035037,            0.043928,          7.7807e-05,           0.0001387,           0.0001387,           0.0001387
                  89,           0.0097112,            0.077032,           0.0026378,             0.99996,                   1,               0.995,             0.99488,           0.0029609,            0.038057,          7.4817e-05,           0.0001288,           0.0001288,           0.0001288
                  90,           0.0097465,            0.076795,           0.0026547,             0.99995,                   1,               0.995,             0.99483,           0.0030448,            0.041299,          9.0675e-05,           0.0001189,           0.0001189,           0.0001189
                  91,            0.010053,            0.080654,           0.0026619,             0.99991,             0.99995,               0.995,             0.99358,           0.0034532,            0.042034,          8.2984e-05,            0.000109,            0.000109,            0.000109
                  92,            0.009686,            0.077133,           0.0026846,             0.99996,                   1,               0.995,             0.99455,           0.0032219,            0.042408,          6.6097e-05,            9.91e-05,            9.91e-05,            9.91e-05
                  93,           0.0095678,            0.073856,           0.0026417,             0.99996,                   1,               0.995,             0.99486,           0.0027343,            0.037655,          6.0492e-05,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.010162,            0.080038,           0.0027859,             0.99978,             0.99994,               0.995,             0.99483,           0.0031807,            0.040417,          8.3808e-05,            7.93e-05,            7.93e-05,            7.93e-05
                  95,           0.0091197,            0.071427,           0.0025312,             0.99996,                   1,               0.995,             0.99494,           0.0025235,            0.033896,          5.7901e-05,            6.94e-05,            6.94e-05,            6.94e-05
                  96,           0.0084606,            0.067525,            0.002388,             0.99996,                   1,               0.995,             0.99477,           0.0026907,            0.042987,          7.6232e-05,            5.95e-05,            5.95e-05,            5.95e-05
                  97,           0.0093974,            0.071581,           0.0026486,             0.99995,                   1,               0.995,             0.99488,           0.0024737,            0.037354,          8.5255e-05,            4.96e-05,            4.96e-05,            4.96e-05
                  98,           0.0089796,             0.06942,           0.0026948,             0.99995,                   1,               0.995,             0.99491,           0.0028112,            0.036456,          7.3829e-05,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.008543,            0.067341,           0.0024991,             0.99995,                   1,               0.995,             0.99494,           0.0023813,            0.032327,           6.819e-05,            2.98e-05,            2.98e-05,            2.98e-05
